Contributor,Score
"SWITCH2_DSTATS_CPU_WAIT","0.000000"
"SWITCH3_DSTATS_CPU_WAIT","0.000000"
"SWITCH1_DSTATS_DISK_WRITE","2.393794"
"SWITCH2_DSTATS_DISK_WRITE","5.707181"
"SWITCH3_DSTATS_DISK_WRITE","13.573408"
"SWITCH1_DSTATS_CPU_WAIT","16.709715"
"SWITCH4_DSTATS_DISK_WRITE","17.948223"
"SWITCH4_DSTATS_CPU_WAIT","18.299652"
"ICEXS_LSRV0470_INSTANCE_TIMERS","32.255451"
"ICEXS_LSRV0471_INSTANCE_TIMERS","34.462685"
"ICEXS_LSRV0474_INSTANCE_TIMERS","35.035294"
"ICEXS_LSRV0473_INSTANCE_TIMERS","36.160385"
"ICEXS_LSRV0475_INSTANCE_TIMERS","39.797665"
"ICEXS_LSRV0469_INSTANCE_TIMERS","40.130089"
"ICEXS_LSRV0472_INSTANCE_TIMERS","41.943626"
"ICEXS_LSRV0468_INSTANCE_TIMERS","42.606182"
"ICEXS_LSRV0475_CONNECTION_TERMINATES","52.411705"
"ICEXS_LSRV0474_CONNECTION_TERMINATES","52.693398"
"ICEXS_LSRV0473_CONNECTION_TERMINATES","53.243744"
"ICEXS_LSRV0472_CONNECTION_TERMINATES","54.875420"
"ICEXS_LSRV0471_CONNECTION_TERMINATES","57.679249"
"ICEXS_LSRV0469_CONNECTION_TERMINATES","59.020817"
"ICEXS_LSRV0470_CONNECTION_TERMINATES","60.683178"
"ICEXS_LSRV0475_CONNECTION_DISCONNECTS","61.516960"
"ICEXS_LSRV0468_CONNECTION_TERMINATES","63.275738"
"SWITCH1_DSTATS_PAGING_OUT","70.180061"
"ICEXS_LSRV0473_CONNECTION_DISCONNECTS","73.885414"
"ICEXS_LSRV0474_CONNECTION_DISCONNECTS","77.426888"
"SWITCH4_DSTATS_DISK_READ","82.734047"
"SWITCH1_DSTATS_DISK_READ","84.553444"
"SWITCH3_DSTATS_PAGING_OUT","84.560371"
"SWITCH2_DSTATS_DISK_READ","85.526627"
